MCC;MNC;Country_code;NDC;SN_Start;SN_Stop
240;08;46;719121002;0000;9999
240;08;46;7100000732;000;999
240;08;46;7100000738;000;999
240;08;46;72094;0000;9999
240;08;46;72694;0000;9999
240;08;46;728193;000;999
240;08;46;728194;000;999
240;08;46;728195;000;999
240;08;46;728196;000;999
240;08;46;728197;000;999
240;08;46;723442;000;999
240;08;46;723443;000;999
240;08;46;723445;000;999
240;08;46;723446;000;999
240;08;46;723447;000;999
240;08;46;72695;0000;9999
240;08;46;720898;000;999
240;08;46;726008;000;999
240;08;46;726425;000;999
240;08;46;726426;000;999
240;08;46;726427;000;999
240;08;46;72696;0000;9999
240;08;46;72798;0000;9999
240;08;46;72799;0000;9999
240;08;46;72609;0000;9999
240;08;46;7100000935;000;999
240;08;46;72645;0000;9999
240;08;46;72646;0000;9999
240;08;46;72643;0000;9999
240;08;46;72697;0000;9999
240;08;46;709032;000;999
240;08;46;709032;0000;9999
240;08;46;709032;00000;99999
240;08;46;709032;000000;999999
240;08;46;709032;0000000;9999999
240;08;46;709033;000;999
240;08;46;709033;0000;9999
240;08;46;709033;00000;99999
240;08;46;709033;000000;999999
240;08;46;709033;0000000;9999999
